Symbol,Name,Side,Filled Time,Placed Time,Filled Quantity,Avg Price,Order Type,Status,Fees,Commission,Total,Amount,Currency,Order ID,Trade ID
AAPL,Apple Inc,Buy,"2026-05-01 09:34:12","2026-05-01 09:33:58",20,184.25,Market,Filled,0.00,0.00,-3685.00,-3685.00,USD,WB100001,WT100001
AAPL,Apple Inc,Sell,"2026-05-01 10:11:42","2026-05-01 10:11:20",10,185.40,Limit,Filled,0.03,0.00,1854.00,1854.00,USD,WB100002,WT100002
MSFT,Microsoft Corp,Buy,"2026-05-01 10:48:09","2026-05-01 10:47:51",8,421.30,Market,Filled,0.00,0.00,-3370.40,-3370.40,USD,WB100003,WT100003
MSFT,Microsoft Corp,Sell,"2026-05-01 13:02:31","2026-05-01 13:02:01",8,420.10,Market,Filled,0.03,0.00,3360.80,3360.80,USD,WB100004,WT100004
CASH,Cash Transfer,Deposit,"2026-05-01 14:15:00","2026-05-01 14:15:00",0,0,ACH,Filled,0.00,0.00,5000.00,5000.00,USD,WB100005,WT100005
AAPL,Apple Inc,Sell,"2026-05-02 09:40:18","2026-05-02 09:39:51",10,186.10,Limit,Filled,0.03,0.00,1861.00,1861.00,USD,WB100006,WT100006
QQQ,Invesco QQQ Trust,Buy,"2026-05-02 10:22:45","2026-05-02 10:22:20",30,438.15,Market,Filled,0.00,0.00,-13144.50,-13144.50,USD,WB100007,WT100007
QQQ,Invesco QQQ Trust,Sell,"2026-05-02 10:50:12","2026-05-02 10:49:48",12,439.00,Limit,Filled,0.02,0.00,5268.00,5268.00,USD,WB100008,WT100008
QQQ,Invesco QQQ Trust,Sell,"2026-05-02 12:16:33","2026-05-02 12:16:05",18,437.60,Limit,Filled,0.03,0.00,7876.80,7876.80,USD,WB100009,WT100009
AMD,Advanced Micro Devices,Buy,"2026-05-02 13:10:25","2026-05-02 13:09:55",50,152.20,Market,Filled,0.00,0.00,-7610.00,-7610.00,USD,WB100010,WT100010
AMD,Advanced Micro Devices,Buy,"2026-05-02 14:03:09","2026-05-02 14:02:45",25,151.80,Limit,Filled,0.00,0.00,-3795.00,-3795.00,USD,WB100011,WT100011
