Asset Category,Currency,Symbol,Date/Time,Buy/Sell,Quantity,T. Price,Commission,Fee,Realized P/L,Open/Close Indicator,IB Order ID,IB Execution ID
Stocks,USD,AAPL,"2026-05-01, 09:35:12",BUY,100,184.25,-1.00,0.02,0.00,O,900001,E100001
Stocks,USD,AAPL,"2026-05-01, 10:12:44",SELL,-100,185.10,-1.00,0.03,83.95,C,900002,E100002
Stocks,USD,MSFT,"2026-05-01, 10:48:21",BUY,50,421.30,-1.00,0.02,0.00,O,900003,E100003
Stocks,USD,MSFT,"2026-05-01, 13:05:18",SELL,-50,420.15,-1.00,0.02,-59.54,C,900004,E100004
Stocks,USD,NVDA,"2026-05-01, 14:22:10",SELL,-25,912.40,-1.00,0.03,0.00,O,900005,E100005
Stocks,USD,NVDA,"2026-05-01, 15:31:07",BUY,25,908.90,-1.00,0.02,85.45,C,900006,E100006
Stocks,USD,QQQ,"2026-05-02, 09:42:33",BUY,75,438.15,-1.00,0.02,0.00,O,900007,E100007
Stocks,USD,QQQ,"2026-05-02, 10:25:09",SELL,-75,437.80,-1.00,0.03,-28.30,C,900008,E100008
Stocks,USD,AMD,"2026-05-02, 11:14:52",BUY,120,152.20,-1.00,0.02,0.00,O,900009,E100009
Stocks,USD,AMD,"2026-05-02, 14:45:16",SELL,-120,153.05,-1.00,0.04,99.94,C,900010,E100010
Stocks,USD,TSLA,"2026-05-03, 09:58:40",BUY,40,238.60,-1.00,0.02,0.00,O,900011,E100011
Stocks,USD,TSLA,"2026-05-03, 10:33:28",SELL,-40,236.95,-1.00,0.03,-68.05,C,900012,E100012
Stocks,USD,META,"2026-05-03, 12:05:19",SELL,-30,486.70,-1.00,0.02,0.00,O,900013,E100013
Stocks,USD,META,"2026-05-03, 13:18:55",BUY,30,485.20,-1.00,0.02,42.96,C,900014,E100014
Stocks,USD,SPY,"2026-05-04, 09:31:06",BUY,100,514.80,-1.00,0.03,0.00,O,900015,E100015
Stocks,USD,SPY,"2026-05-04, 09:56:41",SELL,-100,514.10,-1.00,0.03,-76.06,C,900016,E100016
Stocks,USD,IWM,"2026-05-04, 10:41:23",BUY,150,204.35,-1.00,0.04,0.00,O,900017,E100017
Stocks,USD,IWM,"2026-05-04, 11:22:12",SELL,-150,204.92,-1.00,0.05,83.45,C,900018,E100018
Stocks,USD,AMZN,"2026-05-04, 13:47:36",SELL,-60,181.50,-1.00,0.03,0.00,O,900019,E100019
Stocks,USD,AMZN,"2026-05-04, 15:14:20",BUY,60,182.05,-1.00,0.03,-35.06,C,900020,E100020
Stocks,USD,NFLX,"2026-05-05, 09:44:02",BUY,20,623.80,-1.00,0.02,0.00,O,900021,E100021
Stocks,USD,NFLX,"2026-05-05, 10:59:49",SELL,-20,626.10,-1.00,0.02,43.96,C,900022,E100022
Stocks,USD,GOOGL,"2026-05-05, 11:35:30",BUY,80,172.15,-1.00,0.03,0.00,O,900023,E100023
Stocks,USD,GOOGL,"2026-05-05, 14:02:11",SELL,-80,171.65,-1.00,0.03,-46.06,C,900024,E100024
