Date,Time,Symbol,Description,Action,Quantity,Price,Amount,Commissions & Fees,Net Amount,Account,CUSIP,Settlement Date
2026-05-01,09:34:12,AAPL,APPLE INC,BOT,20,184.25,-3685.00,0.00,-3685.00,SCHWAB-001,037833100,2026-05-04
2026-05-01,10:11:42,AAPL,APPLE INC,SLD,10,185.40,1854.00,-0.03,1853.97,SCHWAB-001,037833100,2026-05-04
2026-05-01,10:48:09,MSFT,MICROSOFT CORP,BOT,8,421.30,-3370.40,0.00,-3370.40,SCHWAB-001,594918104,2026-05-04
2026-05-01,13:02:31,MSFT,MICROSOFT CORP,SLD,8,420.10,3360.80,-0.03,3360.77,SCHWAB-001,594918104,2026-05-04
2026-05-01,14:15:00,CASH,ACH DEPOSIT,Deposit,0,0,5000.00,0.00,5000.00,SCHWAB-001,,2026-05-01
2026-05-02,09:40:18,AAPL,APPLE INC,SLD,10,186.10,1861.00,-0.03,1860.97,SCHWAB-001,037833100,2026-05-05
2026-05-02,10:22:45,QQQ,INVESCO QQQ TRUST,BOT,30,438.15,-13144.50,0.00,-13144.50,SCHWAB-001,46090E103,2026-05-05
2026-05-02,10:50:12,QQQ,INVESCO QQQ TRUST,SLD,12,439.00,5268.00,-0.02,5267.98,SCHWAB-001,46090E103,2026-05-05
2026-05-02,12:16:33,QQQ,INVESCO QQQ TRUST,SLD,18,437.60,7876.80,-0.03,7876.77,SCHWAB-001,46090E103,2026-05-05
2026-05-02,13:10:25,AMD,ADVANCED MICRO DEVICES,BOT,50,152.20,-7610.00,0.00,-7610.00,SCHWAB-001,007903107,2026-05-05
2026-05-02,14:03:09,AMD,ADVANCED MICRO DEVICES,BOT,25,151.80,-3795.00,0.00,-3795.00,SCHWAB-001,007903107,2026-05-05
2026-05-02,15:20:44,AMD,ADVANCED MICRO DEVICES,SLD,75,153.05,11478.75,-0.04,11478.71,SCHWAB-001,007903107,2026-05-05
2026-05-03,09:32:00,SPY,SPDR S&P 500 ETF,Dividend,0,0,18.42,0.00,18.42,SCHWAB-001,78462F103,2026-05-03
2026-05-03,09:58:26,TSLA,TESLA INC,BOT,15,238.60,-3579.00,0.00,-3579.00,SCHWAB-001,88160R101,2026-05-06
2026-05-03,10:35:51,TSLA,TESLA INC,SLD,20,236.95,4739.00,-0.04,4738.96,SCHWAB-001,88160R101,2026-05-06
2026-05-03,11:14:03,TSLA,TESLA INC,BOT,5,235.20,-1176.00,-0.02,-1176.02,SCHWAB-001,88160R101,2026-05-06
2026-05-03,12:07:20,META,META PLATFORMS,Sell Short,12,486.70,5840.40,-0.02,5840.38,SCHWAB-001,30303M102,2026-05-06
2026-05-03,13:22:39,META,META PLATFORMS,Buy To Cover,12,485.20,-5822.40,-0.02,-5822.42,SCHWAB-001,30303M102,2026-05-06
2026-05-04,09:31:28,SPY,SPDR S&P 500 ETF,BOT,25,514.80,-12870.00,0.00,-12870.00,SCHWAB-001,78462F103,2026-05-07
2026-05-04,09:55:47,SPY,SPDR S&P 500 ETF,SLD,25,514.10,12852.50,-0.03,12852.47,SCHWAB-001,78462F103,2026-05-07
2026-05-04,10:44:13,IWM,ISHARES RUSSELL 2000 ETF,BOT,60,204.35,-12261.00,0.00,-12261.00,SCHWAB-001,464287655,2026-05-07
2026-05-04,11:25:02,IWM,ISHARES RUSSELL 2000 ETF,SLD,60,204.92,12295.20,-0.04,12295.16,SCHWAB-001,464287655,2026-05-07
2026-05-04,12:00:00,CASH,MONTHLY ACCOUNT FEE,Fee,0,0,-5.00,0.00,-5.00,SCHWAB-001,,2026-05-04
2026-05-05,09:41:21,AMZN,AMAZON COM INC,Sell Short,20,181.50,3630.00,-0.02,3629.98,SCHWAB-001,023135106,2026-05-08
2026-05-05,10:13:31,AMZN,AMAZON COM INC,Buy To Cover,20,182.05,-3641.00,-0.02,-3641.02,SCHWAB-001,023135106,2026-05-08
2026-05-05,11:02:11,NFLX,NETFLIX INC,BOT,6,623.80,-3742.80,0.00,-3742.80,SCHWAB-001,64110L106,2026-05-08
2026-05-05,11:58:02,NFLX,NETFLIX INC,SLD,6,626.10,3756.60,-0.02,3756.58,SCHWAB-001,64110L106,2026-05-08
2026-05-05,13:24:09,GOOGL,ALPHABET INC,BOT,30,172.15,-5164.50,0.00,-5164.50,SCHWAB-001,02079K305,2026-05-08
2026-05-05,14:17:55,GOOGL,ALPHABET INC,SLD,10,171.65,1716.50,-0.02,1716.48,SCHWAB-001,02079K305,2026-05-08
2026-05-06,09:40:00,CASH,ACH WITHDRAWAL,Withdrawal,0,0,-1000.00,0.00,-1000.00,SCHWAB-001,,2026-05-06
2026-05-06,10:12:22,SMH,VANECK SEMICONDUCTOR ETF,BOT,40,236.80,-9472.00,0.00,-9472.00,SCHWAB-001,92189F676,2026-05-11
2026-05-06,10:48:36,SMH,VANECK SEMICONDUCTOR ETF,SLD,20,237.60,4752.00,-0.02,4751.98,SCHWAB-001,92189F676,2026-05-11
