symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,commission,fees,strategy,planned_stop,planned_target
QQQ,long,2026-04-18T09:10:00,2026-04-18T09:25:00,441.20,441.65,100,1,1,,440.70,442.00
QQQ,long,2026-04-18T09:36:00,2026-04-18T10:12:00,442.10,443.35,100,1,1,Index Momentum,441.50,443.60
SPY,long,2026-04-18T09:52:00,2026-04-18T10:22:00,522.10,522.55,100,1,1,Index Momentum,521.50,523.10
NVDA,short,2026-04-18T10:48:00,2026-04-18T11:45:00,884.20,882.70,50,1,1,Mean Reversion,885.20,881.50
MSFT,long,2026-04-18T13:22:00,2026-04-18T13:52:00,418.10,418.85,100,1,1,Trend Continuation,417.50,419.00
AAPL,long,2026-04-18T14:08:00,2026-04-18T15:05:00,192.10,193.20,150,1,1,Trend Continuation,191.50,193.50
AMD,long,2026-04-19T14:22:00,2026-04-19T15:30:00,163.10,164.45,200,1,1,Trend Continuation,162.50,164.80
IWM,long,2026-04-19T11:08:00,2026-04-19T11:42:00,205.10,205.35,100,0,0,Zero Cost Test,204.70,205.80
IWM,long,2026-04-19T12:12:00,2026-04-19T12:50:00,205.35,205.60,100,0,0,Zero Cost Test,204.90,206.00
META,long,2026-04-19T16:25:00,2026-04-19T17:00:00,512.10,512.65,80,1,1,After-hours Momentum,511.50,513.00
SPY,short,2026-04-19T13:35:00,2026-04-19T13:58:00,523.10,522.20,100,1,1,,523.70,521.80
NFLX,long,2026-04-19T09:42:00,2026-04-19T10:18:00,620.00,621.10,50,1,1,Index Momentum,619.20,622.00
