Symbol,Description,Acquired Date,Sold Date,Quantity,Proceeds,Cost Basis,Realized Gain/Loss,Fees,Currency,Account
AAPL,Apple Inc,2026-05-01,2026-05-02,20,3715.00,3685.00,30.00,0.06,USD,RH-001
MSFT,Microsoft Corp,2026-05-01,2026-05-01,8,3360.80,3370.40,-9.60,0.03,USD,RH-001
QQQ,Invesco QQQ,2026-05-02,2026-05-02,12,5268.00,5257.80,10.20,0.02,USD,RH-001
QQQ,Invesco QQQ,2026-05-02,2026-05-02,18,7876.80,7886.70,-9.90,0.03,USD,RH-001
AMD,Advanced Micro Devices,2026-05-02,2026-05-02,75,11478.75,11405.00,73.75,0.04,USD,RH-001
TSLA,Tesla Inc,2026-05-03,2026-05-03,15,3554.25,3579.00,-24.75,0.03,USD,RH-001
META,Meta Platforms,2026-05-03,2026-05-03,12,5840.40,5822.40,18.00,0.04,USD,RH-001
SPY,SPDR S&P 500 ETF,2026-05-04,2026-05-04,25,12852.50,12870.00,-17.50,0.03,USD,RH-001
IWM,iShares Russell 2000 ETF,2026-05-04,2026-05-04,60,12295.20,12261.00,34.20,0.04,USD,RH-001
AMZN,Amazon.com Inc,2026-05-05,2026-05-05,20,3630.00,3641.00,-11.00,0.04,USD,RH-001
NFLX,Netflix Inc,2026-05-05,2026-05-05,6,3756.60,3742.80,13.80,0.02,USD,RH-001
GOOGL,Alphabet Inc,2026-05-05,2026-05-05,10,1716.50,1721.50,-5.00,0.02,USD,RH-001
SMH,VanEck Semiconductor ETF,2026-05-06,2026-05-06,20,4752.00,4736.00,16.00,0.02,USD,RH-001
NVDA,NVIDIA Corp,2026-05-06,2026-05-06,4,3650.00,3632.00,18.00,0.02,USD,RH-001
AVGO,Broadcom Inc,2026-05-06,2026-05-06,3,4104.00,4122.00,-18.00,0.02,USD,RH-001
ORCL,Oracle Corp,2026-05-06,2026-05-06,25,3025.00,3000.00,25.00,0.03,USD,RH-001
SHOP,Shopify Inc,2026-05-06,2026-05-06,30,2250.00,2280.00,-30.00,0.03,USD,RH-001
CRM,Salesforce Inc,2026-05-06,2026-05-06,10,2810.00,2795.00,15.00,0.02,USD,RH-001
PYPL,PayPal Holdings,2026-05-06,2026-05-06,40,2600.00,2628.00,-28.00,0.03,USD,RH-001
UBER,Uber Technologies,2026-05-06,2026-05-06,50,3650.00,3600.00,50.00,0.04,USD,RH-001
