symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,commission,fees,strategy,planned_stop,planned_target
QQQ,long,2026-04-15T08:45:00,2026-04-15T09:20:00,441.00,441.25,100,2,1,Index Momentum,440.50,442.00
QQQ,long,2026-04-15T09:35:00,2026-04-15T10:15:00,442.00,443.10,100,2,1,Index Momentum,441.40,443.50
SPY,long,2026-04-15T09:50:00,2026-04-15T10:25:00,522.00,521.35,100,12,8,Index Momentum,521.40,523.00
NVDA,short,2026-04-15T10:45:00,2026-04-15T11:50:00,884.00,882.90,50,2,1,Mean Reversion,885.00,881.50
AMD,long,2026-04-15T11:30:00,2026-04-15T12:40:00,162.00,161.65,200,2,1,Mean Reversion,161.50,163.00
MSFT,long,2026-04-15T13:20:00,2026-04-15T13:55:00,418.00,418.55,100,2,1,Trend Continuation,417.40,419.00
AAPL,long,2026-04-15T14:05:00,2026-04-15T15:10:00,192.00,192.85,150,2,1,Trend Continuation,191.40,193.25
TSLA,short,2026-04-15T15:15:00,2026-04-15T15:55:00,177.00,177.80,150,14,8,Mean Reversion,177.60,176.00
META,long,2026-04-15T16:20:00,2026-04-15T17:05:00,512.00,512.20,80,2,1,After-hours Momentum,511.40,513.00
QQQ,long,2026-04-16T09:40:00,2026-04-16T10:10:00,443.00,444.20,100,2,1,Index Momentum,442.30,444.50
SPY,short,2026-04-16T10:50:00,2026-04-16T11:35:00,523.00,522.40,100,2,1,Mean Reversion,523.60,521.80
AMD,long,2026-04-16T14:20:00,2026-04-16T15:35:00,163.00,164.10,200,2,1,Trend Continuation,162.40,164.50
IWM,long,2026-04-16T11:05:00,2026-04-16T11:45:00,205.00,205.20,100,0,0,Zero Cost Test,204.60,205.80
IWM,long,2026-04-16T12:10:00,2026-04-16T12:55:00,205.30,205.45,100,0,0,Zero Cost Test,204.90,206.00
